,Iteration,distance,best_run,states,best_score
673,673,2024,9124,10406,59
674,674,4980,9124,10406,59
675,675,1728,9124,10406,59
676,676,1136,9124,10407,59
677,677,2472,9124,10416,59
678,678,4392,9124,10418,59
679,679,1136,9124,10418,59
680,680,992,9124,10421,59
681,681,3064,9124,10421,59
682,682,2176,9124,10421,59
683,683,1336,9124,10421,59
684,684,1728,9124,10421,59
685,685,3576,9124,10421,59
686,686,4984,9124,10421,59
687,687,1288,9124,10421,59
688,688,2024,9124,10421,59
689,689,4592,9124,10421,59
690,690,2848,9124,10422,59
691,691,1728,9124,10422,59
692,692,2172,9124,10422,59
693,693,2176,9124,10422,59
694,694,1584,9124,10422,59
695,695,1432,9124,10422,59
696,696,1432,9124,10422,59
697,697,1584,9124,10422,59
698,698,3208,9124,10422,59
699,699,1288,9124,10422,59
700,700,1288,9124,10422,59
701,701,1724,9124,10422,59
702,702,2472,9124,10422,59
703,703,1580,9124,10422,59
704,704,2472,9124,10422,59
705,705,2176,9124,10423,59
706,706,2472,9124,10423,59
707,707,1880,9124,10423,59
708,708,1160,9124,10423,59
709,709,1168,9124,10423,59
710,710,1436,9124,10423,59
711,711,1584,9124,10423,59
712,712,1292,9124,10423,59
713,713,1136,9124,10423,59
714,714,6040,9124,10423,59
715,715,2320,9124,10423,59
716,716,1728,9124,10423,59
717,717,2244,9124,10431,59
718,718,2176,9124,10431,59
719,719,2656,9124,10431,59
720,720,5872,9124,10444,59
721,721,3504,9124,10444,59
722,722,2980,9124,10444,59
723,723,5432,9124,10444,59
724,724,8176,9124,10444,59
725,725,5872,9124,10444,59
726,726,1584,9124,10444,59
727,727,3208,9124,10445,59
728,728,1436,9124,10445,59
729,729,1284,9124,10445,59
730,730,1432,9124,10445,59
731,731,1580,9124,10445,59
732,732,2176,9124,10449,59
733,733,2764,9124,10449,59
734,734,3064,9124,10449,59
735,735,4984,9124,10454,59
736,736,2768,9124,10454,59
737,737,1288,9124,10454,59
738,738,1728,9124,10454,59
739,739,1136,9124,10454,59
740,740,1288,9124,10454,59
741,741,1876,9124,10455,59
742,742,2024,9124,10455,59
743,743,4096,9124,10455,59
