,Iteration,distance,best_run,states,best_score
380,380,1580,11792,7943,77
381,381,2472,11792,7943,77
382,382,4544,11792,7943,77
383,383,1364,11792,7944,77
384,384,2912,11792,7946,77
385,385,7720,11792,7951,77
386,386,1808,11792,7951,77
387,387,2616,11792,7953,77
388,388,2912,11792,7953,77
389,389,892,11792,7954,77
390,390,1788,11792,7954,77
391,391,4248,11792,7961,77
392,392,1600,11792,7961,77
393,393,3504,11792,7961,77
394,394,5432,11792,7961,77
395,395,1064,11792,7961,77
396,396,3424,11792,7961,77
397,397,3064,11792,7966,77
398,398,1316,11792,7968,77
399,399,2472,11792,7968,77
400,400,4688,11792,7968,77
401,401,1780,11792,7969,77
402,402,4304,11792,7969,77
403,403,2316,11792,7969,77
404,404,1584,11792,7970,77
405,405,1584,11792,7974,77
406,406,1880,11792,7976,77
407,407,1288,11792,7977,77
408,408,2908,11792,7980,77
409,409,1136,11792,7980,77
410,410,1880,11792,7980,77
411,411,3208,11792,7980,77
412,412,2472,11792,7991,77
413,413,1328,11792,7991,77
414,414,3404,11792,7991,77
415,415,1432,11792,7991,77
416,416,1288,11792,7992,77
417,417,2768,11792,7992,77
418,418,2472,11792,7992,77
419,419,1336,11792,7992,77
420,420,1880,11792,7995,77
421,421,1288,11792,7995,77
422,422,1584,11792,7995,77
423,423,1728,11792,7996,77
424,424,1808,11792,7996,77
425,425,1208,11792,7996,77
426,426,2388,11792,7997,77
427,427,1584,11792,7997,77
428,428,1584,11792,7998,77
429,429,1876,11792,8001,77
430,430,3952,11792,8001,77
431,431,2316,11792,8002,77
432,432,2472,11792,8002,77
433,433,1316,11792,8002,77
434,434,4392,11792,8009,77
435,435,1584,11792,8013,77
436,436,1064,11792,8014,77
437,437,2320,11792,8015,77
438,438,2320,11792,8015,77
439,439,1880,11792,8015,77
440,440,4840,11792,8015,77
441,441,1288,11792,8022,77
442,442,2024,11792,8023,77
443,443,3952,11792,8024,77
444,444,2204,11792,8024,77
445,445,1440,11792,8024,77
446,446,5136,11792,8024,77
447,447,2616,11792,8031,77
448,448,1460,11792,8031,77
449,449,2320,11792,8031,77
450,450,2320,11792,8032,77
451,451,1288,11792,8032,77
452,452,2176,11792,8032,77
453,453,1728,11792,8032,77
454,454,1288,11792,8032,77
455,455,2848,11792,8033,77
456,456,1748,11792,8034,77
457,457,1768,11792,8034,77
458,458,2768,11792,8035,77
459,459,2248,11792,8036,77
460,460,2768,11792,8036,77
461,461,2320,11792,8039,77
462,462,2024,11792,8039,77
463,463,1884,11792,8039,77
464,464,4248,11792,8040,77
465,465,2468,11792,8040,77
466,466,1912,11792,8040,77
467,467,3504,11792,8042,77
468,468,2768,11792,8042,77
469,469,1320,11792,8042,77
470,470,2980,11792,8042,77
471,471,2176,11792,8042,77
472,472,2320,11792,8042,77
473,473,4248,11792,8043,77
474,474,4128,11792,8043,77
475,475,1880,11792,8043,77
476,476,2912,11792,8043,77
477,477,2024,11792,8043,77
478,478,1928,11792,8043,77
479,479,2100,11792,8043,77
480,480,2832,11792,8043,77
481,481,1728,11792,8046,77
482,482,2472,11792,8048,77
483,483,1288,11792,8048,77
484,484,2472,11792,8051,77
485,485,3704,11792,8051,77
486,486,2488,11792,8051,77
487,487,1584,11792,8051,77
488,488,2024,11792,8051,77
489,489,2176,11792,8051,77
490,490,2472,11792,8051,77
491,491,4248,11792,8052,77
492,492,1140,11792,8052,77
493,493,2340,11792,8052,77
494,494,1728,11792,8052,77
495,495,1216,11792,8052,77
496,496,2616,11792,8054,77
497,497,3876,11792,8054,77
498,498,1888,11792,8054,77
499,499,2092,11792,8054,77
500,500,2468,11792,8055,77
501,501,2024,11792,8055,77
502,502,3064,11792,8057,77
503,503,3360,11792,8064,77
504,504,1880,11792,8064,77
505,505,1900,11792,8067,77
506,506,2616,11792,8067,77
507,507,3064,11792,8067,77
508,508,3504,11792,8073,77
509,509,3360,11792,8073,77
510,510,4244,11792,8073,77
511,511,2616,11792,8073,77
512,512,1728,11792,8073,77
513,513,2176,11792,8073,77
514,514,3064,11792,8074,77
515,515,2024,11792,8074,77
516,516,5576,11792,8074,77
517,517,2024,11792,8074,77
518,518,1584,11792,8074,77
519,519,1584,11792,8074,77
520,520,4688,11792,8074,77
521,521,1584,11792,8074,77
522,522,5728,11792,8074,77
523,523,2320,11792,8074,77
524,524,1584,11792,8078,77
525,525,1584,11792,8078,77
526,526,2252,11792,8082,77
527,527,2024,11792,8082,77
528,528,2784,11792,8083,77
529,529,1584,11792,8084,77
530,530,2316,11792,8084,77
531,531,1808,11792,8084,77
532,532,2176,11792,8084,77
533,533,3808,11792,8085,77
534,534,7236,11792,8085,77
535,535,2024,11792,8085,77
536,536,2616,11792,8085,77
537,537,1580,11792,8085,77
538,538,3064,11792,8086,77
539,539,1728,11792,8087,77
540,540,2024,11792,8087,77
541,541,1880,11792,8087,77
542,542,1880,11792,8087,77
543,543,1728,11792,8087,77
544,544,2472,11792,8088,77
545,545,1316,11792,8088,77
546,546,2476,11792,8088,77
547,547,2100,11792,8089,77
548,548,3208,11792,8096,77
549,549,1432,11792,8096,77
550,550,4920,11792,8096,77
551,551,2516,11792,8096,77
552,552,3208,11792,8096,77
553,553,5280,11792,8096,77
554,554,3064,11792,8098,77
555,555,2668,11792,8098,77
556,556,1584,11792,8098,77
557,557,1908,11792,8098,77
558,558,4688,11792,8098,77
559,559,2616,11792,8098,77
560,560,3208,11792,8099,77
